sample,ID,type,reads,total_reads,percent,modified reads,percent_fs
Exp,1, frame,41,45220,0.090667846,347,11.81556196
Exp,1,frameshift,306,45220,0.676691729,347,88.18443804
Exp,2, frame,4546,54056,8.409797247,7053,64.45484191
Exp,2,frameshift,2507,54056,4.63778304,7053,35.54515809
Exp,3, frame,5691,58910,9.660499066,12989,43.81399646
Exp,3,frameshift,7298,58910,12.38838907,12989,56.18600354
Exp,4, frame,4748,49459,9.5998706,6811,69.710762
Exp,4,frameshift,2063,49459,4.171131644,6811,30.289238
Exp,5, frame,5354,51716,10.35269549,8327,64.29686562
Exp,5,frameshift,2973,51716,5.748704463,8327,35.70313438
Exp,6, frame,6573,46636,14.09426194,10214,64.35284903
Exp,6,frameshift,3641,46636,7.807273351,10214,35.64715097
Exp,7, frame,5059,55207,9.16369301,6278,80.58298821
Exp,7,frameshift,1219,55207,2.208053327,6278,19.41701179
Exp,8, frame,488,39495,1.235599443,492,99.18699187
Exp,8,frameshift,4,39495,0.010127864,492,0.81300813
Exp,9, frame,3465,43440,7.976519337,3472,99.7983871
Exp,9,frameshift,7,43440,0.01611418,3472,0.201612903
Exp,10, frame,5330,54046,9.861969433,7920,67.2979798
Exp,10,frameshift,2590,54046,4.79221404,7920,32.7020202
Exp,11, frame,4847,48800,9.932377049,7124,68.03761931
Exp,11,frameshift,2277,48800,4.665983607,7124,31.96238069
Exp,12, frame,3072,47553,6.460160242,3970,77.38035264
Exp,12,frameshift,898,47553,1.888419237,3970,22.61964736
WT,14, frame,10,37881,0.026398458,16,62.5
WT,14,frameshift,6,37881,0.015839075,16,37.5
WT,15, frame,26,41540,0.062590274,41,63.41463415
WT,15,frameshift,15,41540,0.036109774,41,36.58536585
WT,16, frame,15,33831,0.044338033,26,57.69230769
WT,16,frameshift,11,33831,0.032514558,26,42.30769231